exp,idx,jatosID,cbcond,trial,stimID,cond,KP_zm,KP_conf,RT_zm,RT_conf,hmfc,rating16,sex_kp_mfor,age_kp,studresp,stud_jud,presented
EA_exp_3,1,28726,2,137,42,2,z,3,832,216,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,138,181,1,m,2,1746,609,hit,4,f,20,p,younger,1
EA_exp_3,1,28726,2,139,111,1,z,2,1401,1114,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,140,68,2,z,3,1792,1181,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,141,58,2,z,3,1038,319,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,142,138,1,z,3,1985,282,miss,2,f,20,p,younger,1
EA_exp_3,1,28726,2,143,146,1,z,3,1581,248,miss,2,f,20,q,older,1
EA_exp_3,1,28726,2,144,72,2,z,3,1102,219,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,145,1,2,z,2,1683,168,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,146,74,2,z,2,946,195,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,147,61,2,z,2,1037,188,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,148,127,1,z,3,1143,271,miss,2,f,20,q,older,1
EA_exp_3,1,28726,2,149,34,2,z,3,2997,1411,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,150,162,1,z,3,984,221,miss,2,f,20,q,older,1
EA_exp_3,1,28726,2,151,177,1,z,3,913,231,miss,2,f,20,q,older,1
EA_exp_3,1,28726,2,152,56,2,z,3,1087,301,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,153,197,1,m,2,1954,154,hit,4,f,20,q,older,1
EA_exp_3,1,28726,2,154,81,2,z,3,1557,207,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,155,67,2,z,3,825,191,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,156,161,1,m,1,1561,129,hit,4,f,20,q,older,1
EA_exp_3,1,28726,2,157,46,2,z,3,860,212,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,158,5,2,z,3,859,258,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,159,18,2,z,2,2250,198,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,160,99,2,z,2,2208,175,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,161,11,2,z,3,1545,225,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,162,195,1,m,4,1785,473,hit,6,f,20,q,older,1
EA_exp_3,1,28726,2,163,14,2,z,3,1960,320,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,164,134,1,z,3,1777,196,miss,2,f,20,p,younger,1
EA_exp_3,1,28726,2,165,119,1,z,3,1005,207,miss,2,f,20,p,younger,1
EA_exp_3,1,28726,2,166,142,1,z,3,3014,244,miss,2,f,20,p,younger,1
EA_exp_3,1,28726,2,167,94,2,z,3,2732,229,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,168,57,2,z,3,4462,1775,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,169,89,2,z,3,2137,490,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,170,140,1,m,4,2278,306,hit,6,f,20,q,older,1
EA_exp_3,1,28726,2,171,98,2,z,4,1334,362,cr,1,f,20,NA,NA,NA
EA_exp_3,1,28726,2,172,52,2,z,3,1420,284,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,173,165,1,z,2,1199,280,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,174,163,1,m,3,1709,1105,hit,5,f,20,q,older,1
EA_exp_3,1,28726,2,175,137,1,m,3,1319,841,hit,5,f,20,p,younger,1
EA_exp_3,1,28726,2,176,38,2,z,2,2870,268,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,177,90,2,z,2,1261,246,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,178,35,2,z,2,843,197,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,179,37,2,z,2,2063,195,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,180,32,2,z,2,954,285,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,181,54,2,z,2,752,205,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,182,141,1,m,3,1321,3145,hit,5,f,20,p,younger,1
EA_exp_3,1,28726,2,183,92,2,m,3,1482,198,fa,5,f,20,NA,NA,NA
EA_exp_3,1,28726,2,184,157,1,z,2,1247,309,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,185,128,1,z,2,2109,222,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,186,51,2,z,2,759,255,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,187,192,1,z,2,726,289,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,188,95,2,z,2,1048,244,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,189,151,1,z,2,1180,197,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,190,135,1,z,2,701,826,miss,3,f,20,q,older,1
EA_exp_3,1,28726,2,191,129,1,z,2,777,227,miss,3,f,20,p,younger,1
EA_exp_3,1,28726,2,192,122,1,m,3,2110,574,hit,5,f,20,None,NA,1
EA_exp_3,1,28726,2,193,185,1,z,2,1289,188,miss,3,f,20,p,younger,1
EA_exp_3,1,28726,2,194,102,1,z,3,1554,271,miss,2,f,20,None,NA,1
EA_exp_3,1,28726,2,195,97,2,z,3,1062,163,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,196,113,1,m,2,1742,271,hit,4,f,20,p,younger,1
EA_exp_3,1,28726,2,197,9,2,z,2,4085,247,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,198,200,1,m,3,1405,382,hit,5,f,20,p,younger,1
EA_exp_3,1,28726,2,199,48,2,z,2,1183,232,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,200,29,2,z,3,1649,183,cr,2,f,20,NA,NA,NA
EA_exp_3,2,28665,1,1,154,2,m,3,3301,4008,fa,5,f,19,NA,NA,NA
EA_exp_3,2,28665,1,2,46,1,m,4,3704,1343,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,3,4,1,m,2,6278,1401,hit,4,f,19,None,NA,1
EA_exp_3,2,28665,1,4,108,2,z,3,1744,1221,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,5,159,2,z,2,1686,619,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,6,23,1,m,4,2006,541,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,7,41,1,m,4,858,432,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,8,166,2,m,4,656,368,fa,6,f,19,NA,NA,NA
EA_exp_3,2,28665,1,9,106,2,z,3,1456,1073,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,10,137,2,z,3,1125,436,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,11,65,1,m,4,1219,380,hit,6,f,19,p,younger,1
EA_exp_3,2,28665,1,12,3,1,m,4,768,394,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,13,186,2,z,2,1675,402,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,14,194,2,z,2,1280,456,cr,3,f,19,NA,NA,NA
