exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_2,5,1,24,140,2,22,1,d,3,2645,870,0,1,1,new,old,female,19
EA_exp_2,5,1,25,164,4,27,3,d,1,1747,535,0,2,2,new,old,female,19
EA_exp_2,5,1,26,21,7,120,8,d,3,3117,457,1,4,4,old,new,female,19
EA_exp_2,5,1,27,59,3,107,4,d,2,2833,364,1,2,2,old,new,female,19
EA_exp_2,5,1,28,128,4,76,3,j,4,1948,1639,1,2,2,new,old,female,19
EA_exp_2,5,1,29,153,4,55,3,j,2,2737,334,1,2,2,new,old,female,19
EA_exp_2,5,1,30,72,5,190,6,j,1,2542,322,0,3,3,old,new,female,19
EA_exp_2,5,1,31,108,4,89,3,j,1,2579,468,1,2,2,new,old,female,19
EA_exp_2,5,1,32,146,8,56,7,j,3,1582,489,1,4,4,new,old,female,19
EA_exp_2,5,1,33,91,5,187,6,d,1,2384,525,1,3,3,old,new,female,19
EA_exp_2,5,1,34,124,12,70,11,j,4,1398,551,1,6,6,new,old,female,19
EA_exp_2,5,1,35,161,4,88,3,d,2,1726,450,0,2,2,new,old,female,19
EA_exp_2,5,1,36,174,8,10,7,d,2,3293,371,0,4,4,new,old,female,19
EA_exp_2,5,1,37,18,3,156,4,d,3,2320,383,1,2,2,old,new,female,19
EA_exp_2,5,1,38,178,8,86,7,d,2,4504,321,0,4,4,new,old,female,19
EA_exp_2,5,1,39,60,1,127,2,d,3,2063,761,1,1,1,old,new,female,19
EA_exp_2,5,1,40,6,1,139,2,j,2,3112,836,0,1,1,old,new,female,19
EA_exp_2,5,1,41,39,11,117,12,d,4,1950,364,1,6,6,old,new,female,19
EA_exp_2,5,1,42,136,2,74,1,j,2,3227,547,1,1,1,new,old,female,19
EA_exp_2,5,1,43,151,2,43,1,j,3,1782,334,1,1,1,new,old,female,19
EA_exp_2,5,1,44,110,2,73,1,j,3,2158,288,1,1,1,new,old,female,19
EA_exp_2,5,1,45,85,7,195,8,d,2,2656,384,1,4,4,old,new,female,19
EA_exp_2,5,1,46,69,5,130,6,d,4,1841,430,1,3,3,old,new,female,19
EA_exp_2,5,1,47,26,1,145,2,d,2,1848,299,1,1,1,old,new,female,19
EA_exp_2,5,1,48,50,1,116,2,d,3,1484,523,1,1,1,old,new,female,19
EA_exp_2,5,1,49,172,4,81,3,j,2,1967,287,1,2,2,new,old,female,19
EA_exp_2,5,1,50,75,7,192,8,d,2,2514,277,1,4,4,old,new,female,19
EA_exp_2,5,1,51,180,6,15,5,d,3,1299,653,0,3,3,new,old,female,19
EA_exp_2,5,1,52,194,6,48,5,j,3,1507,317,1,3,3,new,old,female,19
EA_exp_2,6,2,1,21,6,113,5,d,3,3856,1832,0,3,3,new,old,female,19
EA_exp_2,6,2,2,90,4,187,3,j,4,2765,1448,1,2,2,new,old,female,19
EA_exp_2,6,2,3,25,8,101,7,d,1,6040,947,0,4,4,new,old,female,19
EA_exp_2,6,2,4,103,9,89,10,d,4,2171,910,1,5,5,old,new,female,19
EA_exp_2,6,2,5,189,1,40,2,j,3,2197,1832,0,1,1,old,new,female,19
EA_exp_2,6,2,6,186,7,77,8,d,1,4542,673,1,4,4,old,new,female,19
EA_exp_2,6,2,7,120,7,99,8,d,3,2707,751,1,4,4,old,new,female,19
