exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_1b,5,2,61,47,12,147,11,d,2,113,804,0,6,6,new,old,other,18
EA_exp_1b,5,2,62,134,9,46,10,j,1,976,644,0,5,5,old,new,other,18
EA_exp_1b,5,2,63,186,9,92,10,j,2,360,643,0,5,5,old,new,other,18
EA_exp_1b,5,2,64,135,7,89,8,d,1,342,418,1,4,4,old,new,other,18
EA_exp_1b,5,2,65,115,7,57,8,d,2,223,384,1,4,4,old,new,other,18
EA_exp_1b,5,2,66,10,8,167,7,j,3,254,477,1,4,4,new,old,other,18
EA_exp_1b,5,2,67,25,10,171,9,d,1,838,511,0,5,5,new,old,other,18
EA_exp_1b,5,2,68,108,1,76,2,j,2,199,425,0,1,1,old,new,other,18
EA_exp_1b,5,2,69,179,9,83,10,d,1,246,533,1,5,5,old,new,other,18
EA_exp_1b,5,2,70,140,11,78,12,j,2,222,478,0,6,6,old,new,other,18
EA_exp_1b,5,2,71,1,2,183,1,d,3,279,743,0,1,1,new,old,other,18
EA_exp_1b,5,2,72,71,4,122,3,j,4,231,535,1,2,2,new,old,other,18
EA_exp_1b,6,1,1,104,4,79,3,j,2,11400,3669,1,2,2,new,old,female,18
EA_exp_1b,6,1,2,50,1,172,2,j,2,11600,1577,0,1,1,old,new,female,18
EA_exp_1b,6,1,3,132,6,3,5,d,2,5402,969,0,3,3,new,old,female,18
EA_exp_1b,6,1,4,32,1,195,2,d,4,6818,1592,1,1,1,old,new,female,18
EA_exp_1b,6,1,5,96,7,163,8,d,2,4423,654,1,4,4,old,new,female,18
EA_exp_1b,6,1,6,129,6,85,5,j,1,3556,765,1,3,3,new,old,female,18
EA_exp_1b,6,1,7,20,3,118,4,d,3,8350,1160,1,2,2,old,new,female,18
EA_exp_1b,6,1,8,120,6,13,5,j,1,27065,774,1,3,3,new,old,female,18
EA_exp_1b,6,1,9,141,6,55,5,d,2,3396,614,0,3,3,new,old,female,18
EA_exp_1b,6,1,10,91,5,125,6,d,2,3177,886,1,3,3,old,new,female,18
EA_exp_1b,6,1,11,33,5,166,6,d,3,3629,376,1,3,3,old,new,female,18
EA_exp_1b,6,1,12,145,12,59,11,j,4,6902,539,1,6,6,new,old,female,18
EA_exp_1b,6,1,13,186,8,76,7,d,3,6942,4343,0,4,4,new,old,female,18
EA_exp_1b,6,1,14,109,8,87,7,d,3,3942,738,0,4,4,new,old,female,18
EA_exp_1b,6,1,15,65,3,131,4,j,2,4050,1305,0,2,2,old,new,female,18
EA_exp_1b,6,1,16,77,9,179,10,d,1,3762,501,1,5,5,old,new,female,18
EA_exp_1b,6,1,17,88,3,181,4,d,3,2957,530,1,2,2,old,new,female,18
EA_exp_1b,6,1,18,103,4,61,3,j,3,4500,464,1,2,2,new,old,female,18
EA_exp_1b,6,1,19,155,6,90,5,j,2,17751,4174,1,3,3,new,old,female,18
EA_exp_1b,6,1,20,24,5,152,6,d,4,4951,921,1,3,3,old,new,female,18
EA_exp_1b,6,1,21,185,6,58,5,d,3,5184,1179,0,3,3,new,old,female,18
EA_exp_1b,6,1,22,198,8,35,7,d,2,4309,982,0,4,4,new,old,female,18
EA_exp_1b,6,1,23,173,6,42,5,d,2,2624,1357,0,3,3,new,old,female,18
